title,release date,director,studio,genre,rating
Dhadaka,1990,Mike Pawar,Unknown,Drama,0
Kim,1984,John Davies,London Film Productions,"Adventure, Drama, Family",6.3
Vakil Babu,1982,Asit Sen,S.R. Films Combine,"Drama, Mystery",7.3
Gopichand Jasoos,1982,Naresh Kumar,Dimple Films,"Comedy, Thriller",5.9
Abdullah,1980,Sanjay Khan,Zafo Films Private Limited Productions,"Action, Drama, Romance",6.4
Ramu To Diwana Hai,1980,Kishore Rege,Unknown,Comedy,0
Majnoon,1979,Kamal Amrohi,Unknown,Unknown,0
Naukri,1978,Hrishikesh Mukherjee,R.S.J. Productions,"Comedy, Fantasy",6.9
Satyam Shivam Sundaram: Love Sublime,1978,Raj Kapoor,R.K. Films Ltd.,"Drama, Romance",7.1
Chandi Sona,1977,Sanjay Khan,"Sanjay Khan Films, Zafo Films Private Limited Productions","Action, Thriller",5.8
Khaan Dost,1976,Dulal Guha,Ramayana Chitra,"Action, Crime, Drama",5.6
Do Jasoos,1975,Naresh Kumar,Dimple Films,"Comedy, Mystery",6.3
Dharam Karam,1975,Randhir Kapoor,R.K. Films Ltd.,"Family, Drama",6.0
Mera Desh Mera Dharam,1973,Dara Singh,NH Studioz,Drama,5.6
Kal Aaj Aur Kal,1971,Randhir Kapoor,R.K. Films Ltd.,"Family, Musical, Romance, Drama",6.9
Mera Naam Joker,1970,Raj Kapoor,R.K. Films Ltd.,"Comedy, Drama",8.0
Sapnon Ka Saudagar,1968,Mahesh Kaul,Screen Gems,Romance,7.2
Around the World,1967,Pachhi,P.S. Pictures,"Comedy, Romance",6.3
Diwana,1967,Mahesh Kaul,Anupam Chitra,"Drama, Romance",7.0
Teesri Kasam,1966,Basu Bhattacharya,Image Makers,"Comedy, Drama, Romance",7.9
Dulha Dulhan,1964,Ravindra Dave,Nagina Films,"Comedy, Drama, Family",7.1
Sangam,1964,Raj Kapoor,R.K. Films Ltd.,"Drama, Musical, Romance",7.5
Dil Hi To Hai,1963,C.L. Rawal P.L. Santoshi,Rawal Films,"Comedy, Drama, Romance",7.1
Ek Dil Sau Afsane,1963,R.C. Talwar,Talwar Films,"Comedy, Drama, Romance",6.4
Aashiq,1962,Hrishikesh Mukherjee,Reuben Dubey Productions,Romance,6.7
Nazrana,1961,C.V. Sridhar,Venus Pictures,"Comedy, Drama, Romance",6.9
Chhalia,1960,Manmohan Desai,Subhash Pictures,"Musical, Romance",7.5
Jis Desh Men Ganga Behti Hai,1960,Radhu Karmakar,R.K. Films Ltd.,"Drama, Musical, Romance",7.4
Shriman Satyawadi,1960,S.M. Abbas,Roopkala Pictures,"Action, Crime, Drama, Romance",7.0
